Contract_No.,Owner,Price,New_owner,Percent
558,Kyla Avila,1850262,Ishmael Barker,4
559,Flynn Rowland,1075367,Tatiana Wong,2
560,Brady Ross,2382814,Kenneth Kelly,10
561,Carter Velazquez,2503921,Bernard Turner,2
562,Paloma Hutchinson,2174131,Xander Nolan,3
563,Ayanna Hays,2700839,Regan Rocha,8
564,Hilda Garza,1609406,Julie Mejia,3
565,Quemby Church,1751239,Finn Stuart,3
566,Timothy Davis,1676004,Kimberly Tate,5
567,Dennis Mooney,1972425,Denton Anderson,4
568,Roanna Mclaughlin,2915219,Ora Fox,7
569,Melinda Trevino,1999624,Lucian Wise,9
570,Judah Schroeder,2002440,Shannon Rutledge,3
571,Baxter Wilkinson,1322595,Cailin Willis,4
572,Medge Mccoy,1798608,Sybill Patton,8
573,Abbot Bender,2853769,Leroy Flores,9
574,Myra Kirk,2969343,Xander Keith,6
575,Abdul Larson,2143677,Lucian Mendez,5
576,Jacob Brady,1857953,Silas Richards,8
577,Dustin Roberson,2908965,Barrett Hyde,6
578,Alvin Medina,1259036,Cheyenne Dyer,10
579,Damon Sanchez,2036296,Rana Ramos,7
580,Mona Mayo,2691974,Trevor Holmes,2
581,Lydia Bowman,1211678,Alvin Washington,2
582,Nigel Sloan,1271177,Fatima Bradley,6
583,Francis Dennis,2824795,Brian Stephenson,3
584,Rhoda Moore,2219912,Ivory Wood,8
585,Louis Fulton,1870149,Benedict Hoover,9
586,Lewis House,2863796,Magee Mercado,5
587,Mallory Hampton,1602700,Hedley Taylor,9
588,Jameson Paul,2018540,Robert Goodwin,7
589,Elvis Haynes,2217925,Tanek Gonzalez,9
590,Paul Conner,1638664,Akeem Head,6
591,Kelly Collins,2750793,Cairo Ochoa,5
592,Cameron Riddle,1947930,Olga Mcconnell,4
593,Nayda Campos,2073605,Dustin Walter,3
594,Walter Torres,1799750,Guy Pitts,9
595,Kieran Gillespie,2395478,Sybil Alvarez,7
596,Lysandra Diaz,1062710,Candice Austin,5
597,Kirk Brewer,2314196,Graham Griffin,5
598,Allistair Miles,2888680,Yardley Calhoun,10
599,Kadeem Decker,2953779,Hayden Sparks,2
600,Sybill Yang,1498152,Ignatius Holland,3
601,Avram Delacruz,1082605,Maggy Wise,7
602,Gail Barlow,2330119,May Conley,9
603,Lewis Hall,2287689,David Walters,1
604,Dolan Hopper,2423737,Guy Patel,2
605,Aileen Humphrey,1872083,Cadman Sutton,7
606,Rhiannon Thompson,1741155,Raymond Koch,2
607,Gabriel Rojas,2335091,Knox Finch,7
608,September Villarreal,1920652,Montana Simon,1
609,Nevada Campbell,2831466,Rinah Dennis,4
610,Nathaniel Mullen,2187180,Sonia Cash,7
611,Kelly Mcmahon,1960163,Rama Brock,6
612,Perry Park,1298807,Darryl Holloway,7
613,Lucy Barrera,2745440,Pascale Randolph,4
614,Paula York,2066400,Hiroko Fulton,4
615,Sopoline Wilkerson,2245528,Erasmus Allen,5
616,Hedwig Burris,1057167,Latifah Pace,7
617,Chandler Hicks,2392988,Ignatius Barrett,2
618,Yoshio Ferguson,2665534,Bianca Gallagher,3
619,Berk Booker,2877471,Mira Carey,3
620,Kylan Gonzales,2483922,Macon Cleveland,8
621,Sasha Gray,2771878,India Mcfarland,7
622,Kameko Eaton,1220926,Dustin Glass,4
623,Ezra Lynch,1211481,Anastasia Bean,7
624,Carissa Knight,1352282,Cole Castaneda,3
625,Solomon Walsh,2368692,Summer Burris,7
626,Logan Little,1614986,Henry Frazier,4
627,Neville Conrad,2157532,Sade Patterson,4
628,Hamish Herrera,1618806,Anthony Hickman,4
629,Allegra Mays,1282097,Aurora Livingston,9
630,Hadley Bright,2058543,Dexter Mcclure,6
631,Curran Dennis,1514813,Hilda Kinney,3
632,Maggy Tillman,2498940,Audra Cantu,4
633,Fleur Perry,1080381,Igor Chang,5
634,Cara Hoffman,1110051,Althea Mckinney,10
635,Pamela Fry,2797776,Angelica Booker,7
636,Kyra Sherman,1435929,Marcia Berg,5
637,Willa Hopkins,2781947,Dorian Mills,4
638,Donovan Morin,2763615,Cullen Case,9
639,Martena Stafford,2681800,Althea Conway,7
640,Imani Ferguson,2740553,Basia Strong,9
641,Ishmael Roy,1788954,Ann Buchanan,6
642,Burke Kim,2778875,Richard Bailey,5
643,Fletcher Mcmahon,1299647,Desiree Nelson,7
644,Patience Harper,1725511,Madonna Santos,1
645,Kenneth Oneil,2142177,Bianca Erickson,6
646,Clayton Bush,1921795,Asher Freeman,1
647,Keefe Lambert,1013947,Jesse Suarez,6
648,McKenzie Rollins,1319344,Logan Andrews,7
649,Wesley Patton,2745790,Nicholas Mckay,5
650,Audrey Mccullough,1484957,Thor Michael,2
651,Dane Short,1950583,Alvin Holland,9
652,Solomon Ayala,2602304,Perry Pace,10
653,Yardley Cohen,2313170,Jennifer Sexton,6
654,Joel Mercado,1651032,Zephr Rich,6
655,Blythe Bruce,1701267,Benjamin Fitzpatrick,9
656,Wang Norris,2177627,Drew Booker,5
657,Moana Shepherd,1717175,Veda Benson,3
658,Lael Rios,1734832,Aimee Fitzgerald,7
659,Cole Kerr,1717036,Whilemina Morales,7
660,Bell Roberts,2914715,Bryar Burch,8
661,Demetria Burks,1374430,Patience Huff,9
662,Octavius Goodwin,2898157,Sybil Velasquez,7
663,Beau Patel,1163522,Julie Sheppard,1
664,Nayda Lott,2516240,Brianna Reed,1
665,Alika Webb,2469788,Simon Buchanan,9
666,Wanda Miranda,2167854,Magee Lindsey,2
667,Linda Briggs,2771861,Dillon Faulkner,2
668,Kyle Rice,1891458,Fuller Sims,7
669,Tyler Chen,1860604,Kiara Compton,9
670,Rama Wheeler,2998363,Dominique Robertson,9
671,Kibo Tran,2804780,Tamara Riggs,1
672,Randall Berger,2735831,Nash Goodwin,9
673,Rana Hampton,2065622,Yen Shaffer,3
674,Sierra Osborne,1650544,Ainsley Rivera,8
675,Echo Mercer,2858331,Ethan Lang,2
676,Fiona Michael,1553843,Clio Fuentes,4
677,Merritt Cook,2746065,Germaine Travis,2
678,Renee Woodard,1396932,Lamar Greer,2
679,Yuri Kennedy,2614519,Keith Stanley,9
680,Carl Valentine,2049452,Astra Chavez,4
681,Hu Maldonado,2196150,Caesar Chen,10
682,Alice Bartlett,1203159,Amber Waters,3
683,Lana Mcintosh,2653728,Madaline Wood,5
684,Declan Duke,1196547,Minerva Riley,3
685,Kasper Moss,1021308,Madaline Heath,2
686,Yen Nicholson,2267036,Quynn Meyer,1
687,Hedwig Mcknight,2577201,Bo Abbott,2
688,Marvin Shaffer,2462059,Cherokee Thornton,6
689,Griffith Le,1749507,Thane Walters,1
690,Jack Potter,1967855,Emi Mckay,10
691,Tamara Dennis,2313207,Carson Parrish,9
692,Chloe Mosley,2972653,Deanna Kinney,6
693,Hunter Raymond,2253552,Hanae Kelly,8
694,Jaime Miller,1888370,Thomas Mills,2
695,Andrew Cross,2843807,Eliana Dalton,5
696,Alea Valenzuela,2214630,Ray Buckner,9
697,Britanney Powell,1108784,Daphne Stevenson,6
698,Darius Holcomb,1869819,Wang Cortez,1
699,George Montgomery,2088329,Emmanuel Dyer,9
700,Steven Spencer,2922065,Kiara Lopez,6
701,Lacey Hoffman,1896975,Randall Watson,3
702,Justin Gould,2640422,Sopoline Harris,4
703,Hilary Mayo,2037540,Melanie Gates,9
704,Reese Stanton,2013989,Jocelyn Wooten,4
705,Chase Zamora,2059141,Knox Underwood,7
706,Griffith Pitts,1669309,Tallulah Frazier,5
707,Leigh Hill,1061233,Renee Perry,4
708,Charity Logan,2443367,Aquila Simmons,6
709,Tad Garza,1093775,Kimberly Crosby,6
710,Dalton Fletcher,2511288,Carlos Tyler,10
711,Beverly Mullins,1944952,Yen Foreman,5
712,Uma Wade,2187365,Sonia Dejesus,7
713,Constance Reid,2728331,Barrett William,4
714,Driscoll Donaldson,1615633,Salvador Mcfarland,1
715,Beverly Mayo,2697839,Megan Collier,9
716,Price Richardson,2680869,Gregory Madden,1
717,Odessa Tucker,2896993,Tana Tran,2
718,Xenos Gibbs,1702408,Aileen Holt,2
719,Raymond Wallace,1975097,Susan Weaver,7
720,Hall Garrett,2082887,Theodore Bailey,3
721,Abra Whitney,1279607,Samantha Romero,7
722,Zane Peck,2107507,Kylie Zamora,5
723,Kathleen Foreman,2372918,Baxter Noble,10
724,Elton Pugh,1421808,Quintessa Cain,2
725,Kellie Waters,1855597,Xaviera Allison,5
726,Brynn Stout,2788653,Hector Christian,2
727,Indigo Cruz,1870748,Bianca Woodward,4
728,MacKensie Nichols,1897737,Gary Ingram,8
729,Chase Campbell,1546259,Tasha Morales,5
730,Jolie Chambers,1183351,Diana Henson,10
731,Sophia David,2548373,Pearl Riggs,6
732,Frances Tanner,1966445,Autumn Callahan,8
733,Brandon Hopper,2963712,Regan Alston,8
734,Oscar O'Neill,2333523,Tate Gould,8
735,Maisie Kim,1378078,Jada Lindsay,4
736,Stephanie Cherry,2273024,Timothy Wagner,9
737,Melissa Fuentes,2532604,Liberty Berger,7
738,Sharon Doyle,1994810,Kerry Pickett,3
739,Dillon Carrillo,1476443,Ishmael Bray,7
740,Baker Barnett,1325226,Carl Hendrix,2
741,Burke Snow,2307106,Xander Ramsey,9
742,Kyra Burke,2211342,Ingrid Ramirez,8
743,Wallace Lowe,2636876,Plato Trujillo,1
744,Mercedes Glenn,2922681,Cullen Clemons,7
745,Amaya Walls,2399557,Isabella Stanley,8
746,Reece Carroll,1975154,Jared Ewing,6
747,Zia James,1685399,Amber Donaldson,5
748,Joan Vaughan,2195789,Rigel Decker,1
749,Ruby Johnston,2146473,Althea Dean,9
750,Howard Burt,1380830,Molly Levine,9
751,Addison Moody,1130731,Aladdin Henson,2
752,Jasper Smith,1080212,Alvin West,1
753,Adrian Pratt,2146846,Ahmed Perkins,2
754,David Haynes,2776060,Jael Abbott,8
755,Odessa Alston,1774830,Alec Carpenter,4
756,Ciaran Rivas,1249829,Gareth Zamora,4
757,Caesar Watkins,1226433,MacKenzie Mckinney,5
758,Sylvester Spence,2044447,Murphy Chan,2
759,Graiden Chang,1234276,Leonard Haney,4
760,Andrew Parsons,1876546,Alice Slater,10
761,Charissa Horne,1379341,Gil Glass,3
762,Macon Mccray,1333920,Judah Garrison,5
763,Deirdre Guerra,1604354,Kennedy Bell,7
764,Damian Ramos,2492169,Kadeem Blake,2
765,Colorado Trujillo,2612609,Coby Walsh,2
766,Kessie Stein,2602239,Harper Barber,4
767,Stewart Gates,2464249,Jorden Horne,8
768,Josephine Hood,2025378,Myles Mclaughlin,9
769,Rosalyn Nielsen,1822974,Armand Mcgee,2
770,Declan Ortiz,1743148,Porter Stein,1
771,Phelan Mendez,2405197,Allistair Harrison,2
772,Karyn Gillespie,1388042,Lydia Frank,10
773,Slade Craig,2816915,Yasir Sloan,7
774,Thane Mcmahon,1766334,Richard Morrow,2
775,Jasper Bailey,2935091,Noelle Phelps,1
776,Xantha Cannon,2947347,Cody Dudley,7
777,Montana Leon,1473016,Tiger Bender,8
778,Damian Knox,1025740,Laura Hess,8
779,Aurora Robles,1094249,Sebastian Sawyer,4
780,Diana Parrish,2897605,Zenaida Cooper,8
781,Jerome Aguilar,2979804,Lisandra Luna,5
782,Branden Ortega,2816281,Joelle Key,3
783,Mark Brewer,2775426,Madison Davis,6
784,Regan Whitehead,1046917,Freya Cabrera,8
785,Xantha Schneider,2462676,Sacha Shaffer,7
786,Ivory Nash,1616829,Moana Vance,6
787,Maya Washington,1483734,Kyle Butler,4
788,Kenneth Gould,2801804,Wyatt Buckley,6
789,Reed Hunt,2326426,Chester Lott,6
790,Malachi Hudson,1454293,Macon Blanchard,5
791,Paki Brennan,2598710,Kellie Horn,8
792,Carla Roberts,1560090,Raphael Hale,8
793,Amela Bray,1405935,Yvette Alston,4
794,Kirsten Huber,2737981,Vanna Strong,5
795,Iliana Hudson,1058701,Violet Morgan,7
796,Patrick Rasmussen,1736239,Virginia Carson,3
797,Amity Ramos,2163793,Brynne Warner,5
798,Lamar Kramer,1823784,Dieter Vasquez,8
799,Justine Hicks,1194600,Jocelyn Foreman,2
800,Zena Avila,1743946,Mark Haney,4
801,Walter Powers,1823368,Ezra Andrews,3
802,Nasim Abbott,2544289,Briar Sullivan,4
803,Hashim Bennett,2076557,Marcia Carver,8
804,Kermit Pugh,2246271,Paki Kline,2
805,Amery Crane,1119018,Clare Matthews,3
806,Erica Riddle,2910705,Meredith Moss,6
807,Mufutau Sanford,2864503,Daria Payne,7
808,Lucius Clayton,1224760,McKenzie Guerrero,4
809,Madeline Holcomb,1793607,Nichole Blackwell,1
810,Alan Clements,1743777,Marvin Mayo,4
811,Abigail Levy,1387978,Hyatt Mcfadden,6
812,Glenna Maxwell,2560358,Claudia May,7
813,Gregory Ray,1242622,Tatyana Hall,2
814,Ava Quinn,1248918,Craig Kennedy,5
815,Kane Wood,2670067,Tyler Wilkerson,7
816,Castor Prince,1662827,Paloma Strong,4
817,Ali Cohen,2612729,Moana Estrada,2
818,Donna Gaines,1724157,Morgan Solomon,1
819,Amanda Alston,1877155,Walter Dalton,8
820,Shana Alexander,2924440,Urielle Olson,4
821,Amity Mccullough,2017642,Gary Foley,4
822,Tana Ayers,1637765,Sylvia Glass,7
823,Odessa Church,2962627,Dylan Savage,7
824,Kato Shields,1494813,Dennis Hardin,8
825,Hayfa Baker,2239582,Hasad Chase,4
826,Adena White,1600117,Cedric Glenn,6
827,Maisie David,1539458,Fulton Williamson,2
828,Branden Jordan,1556408,Stuart Norton,4
829,Breanna Silva,1416815,Michelle Hester,9
830,Ocean Garcia,2673031,Alden Vinson,3
831,Hayfa Herring,1217069,Jameson Pugh,8
832,Abel Cleveland,1900800,Price Garner,6
833,Ariana Hayden,2524236,Chelsea Buck,7
834,Christian Hodges,1044495,Fredericka Roach,4
835,Marvin Sheppard,1510507,Nathan Marshall,3
836,Donna Duke,2758412,Demetrius Faulkner,4
837,Tucker Curry,2267449,Hector Marks,7
838,Bruno Silva,1062791,Patricia Benjamin,4
839,Roth Dillon,2759114,Rashad Fields,2
840,Fleur Ward,1727615,Tanek Massey,7
841,Lucy Duke,2552015,Hoyt Figueroa,3
842,Kennan Guy,2016104,Benjamin Schmidt,8
843,Danielle Vaughn,1452925,Curran Reed,2
844,Kadeem Burris,2906046,Acton Levine,2
845,Kevyn David,2521072,Wang Joseph,9
846,Dalton Randolph,2240384,Lavinia Chang,5
847,Scott Barton,2300759,Gregory Reid,5
848,Uriah Sellers,2310401,Rhoda Newton,3
849,Sydnee Pitts,2353853,Aristotle Fields,1
850,Bruno Pena,2636317,Amy Schmidt,7
851,Tasha Randolph,2817766,Elton Weaver,9
852,Rashad Lambert,2017385,Amaya Wagner,3
853,Candice Rowland,1858657,Beatrice Williamson,4
854,Dane Sims,1313015,Eugenia Hunt,8
855,Lawrence Hartman,2098626,Basil Sweeney,2
856,Alexander Wells,2903332,Christopher Lindsay,4
857,Josiah Holcomb,2900279,Kadeem Hill,5
858,Piper Fuentes,1443669,Marsden Washington,2
859,David Gordon,1997817,Patricia Whitaker,3
860,Amir Travis,2077800,Alexandra Mccray,7
861,Marah Gordon,1224037,Keelie Scott,6
862,Hiroko English,2204827,Kylee Gallagher,9
863,Keiko Stanley,2187641,Ignatius Andrews,10
864,Megan Lane,2987721,Stewart Estrada,5
865,Kelsie Moses,2730913,Allen Allison,4
866,Timon Dudley,1119240,Finn Cantrell,6
867,Irene Harris,2854400,Thane Sutton,7
868,Amethyst Joyner,1154720,Cruz Drake,6
869,Ethan Mcmillan,1219395,Phillip Sweeney,3
870,Zahir Pennington,2771404,Norman Sears,10
871,Timothy Riddle,1615684,Karleigh Perkins,8
872,Geoffrey Marks,2544239,Gareth Frost,4
873,Nerea Moss,2853056,Inga Boone,2
874,Zelda Moon,1281160,Halla May,5
875,Jesse Cabrera,2874636,Larissa Delacruz,3
876,Craig Salas,1141916,Mariam Dalton,9
877,Otto Aguirre,1703285,Cody Santos,9
878,Bethany Moon,2631631,Benedict Rios,5
879,Josephine Hoover,2689036,Lysandra Rich,9
880,Christine Kirk,2640896,Bo Norman,7
881,Raven Hoover,2415311,Jada Cannon,8
882,Mason Weaver,1080584,Melvin Weiss,2
883,Brandon Mitchell,1972188,Aidan Jenkins,6
884,Claudia Turner,1884278,Iris Baird,10
885,Deacon Sampson,2420583,Isabella Arnold,4
886,Keith Alford,1528076,Ruth Crosby,6
887,Erin Newman,1653916,Rowan Hines,3
888,Germane Lang,1870209,Hop Maxwell,4
889,Nell Vega,2350525,Rebekah Bishop,8
890,Rafael Koch,2615597,Gisela Mitchell,3
891,Kasimir Schultz,1606494,Dorothy Lancaster,9
892,Constance Bean,1925891,Robin Salinas,4
893,Ulric Garrett,1273470,Whoopi Dean,5
894,Sharon Mcintosh,1460917,Katell Pitts,2
895,Luke Moon,2656004,Risa Olsen,8
896,Hakeem Moore,2884004,Desirae Lara,6
897,Brady Weeks,1036646,Indira Irwin,3
898,Amber Mullins,2305584,Ruby Duffy,6
899,Francis Key,2768821,Castor Weber,4
900,Nathan Vance,2635474,Skyler Hancock,3
901,Eugenia Matthews,2056309,Quentin Golden,10
902,Sebastian Hopper,2921842,Declan Benjamin,2
903,Ingrid Bean,1135939,Freya Hogan,3
904,Maxine Mcmillan,2312123,Addison Donaldson,6
905,Lee Mack,2995152,Maxine Jackson,3
906,Benedict Aguilar,1242341,Valentine Case,10
907,Keegan Moss,1418829,Hanae Cochran,2
908,Cecilia Cameron,1291779,Jillian Bradley,4
909,Alvin Sheppard,2492620,Kennedy Guerrero,8
910,Neville Marsh,1747756,Rudyard Lancaster,4
911,September Witt,1068533,Xandra Salas,4
912,Reese Bailey,1491777,Gannon Hernandez,4
913,Harper Suarez,1297702,George Guthrie,5
914,Linus Walton,1264095,Rajah Chaney,9
915,Kay Thornton,1654435,Aspen Bullock,8
916,Yeo Day,1997108,Jeanette Ramos,2
917,Iliana Guerra,1608431,Noel Schroeder,5
918,Tate Stephens,2028665,Hyacinth Reed,10
919,Arden Navarro,1180677,Reagan Blackburn,10
920,Frances Dudley,1505456,Murphy Mcguire,5
921,Andrew Mckinney,2727757,Erica Montoya,2
922,Yoshio Merrill,2352857,Bethany Medina,6
923,Peter Alston,2315915,Hyacinth Galloway,8
924,Mufutau Lindsay,2015611,Adele Barber,7
925,Branden Huffman,2134639,Emily Cameron,8
926,Ocean Graham,2199567,Grady Nolan,10
927,Kirby Goodman,2889723,Riley Rivera,9
928,Aristotle Watson,2477645,Idona Huber,2
929,Harlan Stevens,1248690,Lillian Russo,6
930,Brian Britt,1073778,Cleo Kelley,9
931,Bruno Fitzgerald,1809144,Halla Campos,3
932,Darryl Trevino,2897582,Anika Blackwell,9
933,Chloe Barrett,1336050,Rahim Baldwin,5
934,Demetrius Burt,1394459,Demetrius Hamilton,7
935,Merritt Foley,2207708,Clinton Hebert,1
936,Reuben English,2805196,Ava Calderon,8
937,Camilla Lowe,2747635,Dalton David,6
938,Chancellor Cain,2678203,Nigel Lynn,6
939,Stephen Rivas,1920448,Aileen Mccarty,3
940,Cheryl Avila,1796954,Nash George,8
941,Timon Foster,1784816,Raja Wong,10
942,Sebastian Harper,2347591,Cailin Henry,9
943,Ariana Duncan,1475228,Tashya Holman,5
944,Regina Lambert,2484655,Dalton Melton,9
945,Lacota Delacruz,2762192,Lillian Hooper,3
946,MacKensie Jordan,1897502,Aidan Schneider,1
947,Oscar Sears,1126621,Lydia Wall,1
948,Kadeem Herman,2119181,Tobias Rowland,9
949,Igor Velez,2427602,Kyla Atkinson,5
950,Karen Harvey,2079002,Caleb Phelps,6
951,Dean Ramirez,2938361,Myles Sanders,5
952,Wyatt Slater,1323394,Lilah Sheppard,3
953,Keefe Jimenez,2289789,Arthur Delaney,9
954,Coby Burton,1199701,Mason Blackwell,9
955,William Hughes,2644576,Lucius Britt,9
956,Joy Yang,1057377,Amery Douglas,6
957,Calista Silva,1749889,Sylvester Whitley,6
958,Matthew Dotson,2618759,Jesse Houston,4
959,Byron Hanson,2917177,Julian Petty,9
960,Dominic Ortega,1751188,Roary Black,4
961,Alden Mcknight,1465011,Julian Mcfarland,7
962,Otto Kidd,1930286,Elliott Ryan,4
963,Marvin Bradley,1724220,Brent Soto,10
964,Inez Brady,1765623,Janna Osborne,3
965,Burton Gaines,2739572,Ulric Robinson,6
966,John Bender,2924474,Christopher Rogers,8
967,Morgan Horne,1894280,Mannix Mejia,8
968,Leslie Chan,2623678,Leonard Freeman,4
969,Rudyard Figueroa,2333577,Neil Rivera,9
970,Maia Russell,2287404,Nero Glenn,7
971,Luke Mcleod,1498567,Steven Castillo,9
972,Castor Schwartz,2595343,Ori Cochran,8
973,Hedda Charles,1081158,Nora Melendez,8
974,Heidi Velasquez,2028801,Meredith Alexander,3
975,Nevada English,2903532,Malachi Lucas,9
976,Suki Sanders,2813534,Haley Wagner,8
977,Olympia Roth,1799523,Devin Bryant,7
978,Xaviera Tate,1078267,Madaline Forbes,6
979,Chadwick Nichols,2593855,Malik Cortez,8
980,Ralph Wall,1133710,Alexis Mayer,10
981,Faith Weaver,2879284,Shelby Oliver,5
982,Burton Meyers,2791048,Kamal Gould,2
983,Yardley Shelton,2028541,Serina Bailey,3
984,Raya Ryan,1934804,Camille Ramsey,2
985,Dorian Banks,1952598,Jolene Adkins,2
986,Sonya Underwood,1426980,Honorato Duke,9
987,Xanthus Gallagher,2883707,Gray Huber,10
988,Isaac Wooten,2786676,Hasad Herring,10
989,Mia Hardin,1919694,Jackson Rivera,7
990,Farrah Barton,2839758,Desirae Bailey,1
991,Kirestin Sutton,2242321,Jillian Ferrell,8
992,Armand Puckett,1959490,Riley Mercer,8
993,Madaline Gonzales,1346637,Laurel Berger,3
994,Angelica Norman,1561126,Dexter Dickerson,3
995,Jerry Snyder,1222093,Christine Velazquez,4
996,Aaron Mooney,2891623,Adrian Grant,9
997,Alfonso Jimenez,1046243,Elton Strong,6
998,Mannix Terry,1925598,Amos Becker,3
999,Helen Horne,2772822,Rhiannon Harris,4
1000,Cecilia Rocha,2622724,Hunter Mcneil,9
